ASV_ID,domain,phylum,class,order,family,genus,species,mean_CN,SRR8985886_FD10_duringflight,SRR8985887_FD90_duringflight,SRR8985888_L150_preflight,SRR8985889_L60_preflight,SRR8985890_R180_postflight,SRR8985891_L180_preflight,SRR8985892_R33_postflight,SRR8985893_R63_postflight,SRR8985894_R0_postflight,SRR8985895_R18_postflight,SRR8985896_neg_control2,SRR8985897_R0_postflight,SRR8985898_R14_preflight,SRR8985899_L120_preflight,SRR8985900_L180_preflight,SRR8985901_R180_postflight,SRR8985902_R60_postflight,SRR8985903_FD90_duringflight,SRR8985904_FD10_duringflight,SRR8985905_L60_preflight,SRR8985906_L90_preflight,SRR8985907_FD10_duringflight,SRR8985908_FD90_duringflight,SRR8985909_R0_postflight,SRR8985910_R18_postflight,SRR8985911_R30_postflight,SRR8985912_R60_postflight,SRR8985913_R180_postflight,SRR8985914_L60_preflight,SRR8985915_R33_postflight,SRR8985916_R63_postflight,SRR8985917_R63_postflight,SRR8985918_R30_postflight,SRR8985919_L120_preflight,SRR8985920_R180_postflight,SRR8985921_L90_preflight,SRR8985922_L120_preflight,SRR8985923_FD10_duringflight,SRR8985924_L60_preflight,SRR8985925_R14_preflight,SRR8985926_FD90_duringflight,SRR8985927_FD90_duringflight,SRR8985928_R14_duringflight,SRR8985929_L60_preflight,SRR8985930_FD7_duringflight,SRR8985931_L180_preflight,SRR8985932_L90_preflight,SRR8985933_L240_preflight,SRR8985934_L240_preflight,SRR8985935_R1_duringflight,SRR8985936_R0_postflight,SRR8985937_R60_postflight,SRR8985938_R60_postflight,SRR8985939_R0_postflight,SRR8985940_R30_postflight,SRR8985941_FD10_duringflight,SRR8985942_FD90_duringflight,SRR8985943_R180_postflight,SRR8985944_L90_preflight,SRR8985945_R14_preflight,SRR8985946_R0_postflight,SRR8985947_FD90_duringflight,SRR8985948_FD10_duringflight,SRR8985949_L60_preflight,SRR8985950_L180_preflight,SRR8985951_R60_postflight,SRR8985952_R33_postflight,SRR8985953_R18_postflight,SRR8985954_R1_postflight,SRR8985955_R18_postflight,SRR8985956_R0_postflight,SRR8985957_R33_postflight,SRR8985958_R63_postflight,SRR8985959_L180_preflight,SRR8985960_L90_preflight,SRR8985961_L60_preflight,SRR8985962_FD10_duringflight,SRR8985963_FD90_duringflight,SRR8985964_R1_duringflight,SRR8985965_R0_postflight,SRR8985966_R18_postflight,SRR8985967_R60_postflight,SRR8985968_R18_postflight,SRR8985969_FD90_duringflight,SRR8985970_L60_preflight,SRR8985971_FD10_duringflight,SRR8985972_L90_preflight,SRR8985973_R1_postflight,SRR8985974_FD90_duringflight,SRR8985975_neg_control1,SRR8985976_R18_postflight
ASV_151,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA,3,0,8.71E-05,0,0,0,0,0,0,0,0,0,0.000598042,0.00132844,0.001223061,0.005257734,0,0,0.000583501,0.002200084,0.000531116,0.000741227,0,0,0,0,0.000753682,0.000647661,0.000587867,0,9.69E-05,0,0,0,0.002163508,0,0.004556414,0.0040371,0.000242664,0.002246896,0.000381368,0.001856707,0,0,0,0,0,0,0,0,0,0,0.001779,0.001651991,0.002302122,0.000563391,0,0,0.00030614,0,0,0,0.004044437,0.003084017,0.002355054,0.004108974,0.00184498,0.000120481,0.004543446,0.001180308,0.012091027,0.003944163,0.004919402,0.002414732,0,0,0,0,0,0,0,0,0.00037748,0.002334671,0,0,0.0013256,0.000743424,0.000620342,0.000440624,0,0
ASV_204,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA,3,0.001192386,0,0.011547079,0.006955351,0,0.012795144,0,0,0,0,0,0,0,0.001057782,0.000505551,0,0,0.00012837,7.11E-05,0.00013809,0.000575634,0.000231697,0.00126082,0.000975045,0.003543637,0,0,0.000212633,5.21E-05,0.001235079,0.000722978,0.000280141,0.000365029,4.97E-05,0.001377061,0.000225565,0.000656637,1.35E-05,0.000244711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11E-05,0,0,0,0,0,0,0,0.00092249,0.000877794,4.22E-05,0,0,0,0,0,0.000182893,0.00020994,0.000277774,5.55E-05,7.15E-05,3.68E-05,0.000150997,3.43E-05,0.001272646,0.00102584,0.000129143,8.14E-05,0.000129614,0.001072654,0.000542799,0.000242033,0,6.51E-05
ASV_219,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA,3,0,0,0,0,0,0,0,0,0,0,0,0.000156011,0.000454781,0.000975143,0.000621106,0.000259743,0,0.000303421,0.000684106,0.000616094,0.000189249,0.000115848,0,0,0,0.000178504,0.00010325,0.000762976,0,0.000169521,8.03E-05,0.000379014,0.001095087,0.000348151,0.000754554,0.000240603,0.000194559,0.000256145,0.000333697,0.000336121,0.000606075,0,0,0,0,0,0,0,0,0,0,0.001350021,0.000223999,0.000575531,0.000325515,0.000194939,0,0.000865638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002267876,0.001294632,0.007418871,0.000925712,0.000420135,0.000319009,0.000622862,0.000377431,0,0,0,0.000813862,0,0,0,0,0,7.82E-05
ASV_227,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA,3,0,0,8.98E-05,9.92E-05,0.002900832,0,0.0015329,0.00330143,0.000635344,0.001233305,0,3.47E-05,7.18E-05,0.000107431,0.000339442,0,0.000214007,0.000245071,0,0.000626717,0.001805755,0.001009535,0,0,0,3.97E-05,0,0.000275172,0,0,0.000294547,6.59E-05,0,0,0,0.000180452,0.000583677,0,0.000200218,0,5.77E-05,0.001112492,0.001786788,0.002120633,0.002292397,0.002666372,0.001427677,0.000424741,0.000955996,0.001522008,0.000282595,8.83E-05,9.80E-05,0,6.26E-05,0.000129959,0.000209164,7.39E-05,0,0.000151035,0.000872124,0.000545317,0,0,0,0.000300812,0.00084337,0.001153444,2.43E-05,0,0,0,0,7.32E-05,0.000384891,0.000219904,7.41E-05,0.000143025,0.00029447,0.000150997,4.57E-05,0.000237273,0,0,0,0.00011194,6.37E-05,0.000288016,3.10E-05,0,0
ASV_228,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA,3,0,0,0,1.42E-05,0,0,0,0,0,0,0,0,0,0,0.000303331,0,0.000107003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000547094,0,0.000872185,0.000218879,0.001577315,0.00088986,0.008920137,0.002222277,0,0,0,0,0,0,0,0,0,0,0.001375255,0.000573997,0.000562146,0.000312995,0,0,0.001699607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_231,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA,3.2,0.002453489,8.17E-05,0.005417953,0.005737102,0,0.013808713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005903436,0.000242039,0.009270634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_249,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94E-06,0,0,0,0.002124672,0.006986325,0,0,0.004200678,0.000254888,0.00499597,0.001520462,0,0
ASV_251,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA,3.2,0.000711367,0.000680602,0.002367067,0.001925648,0,0.005858242,0,5.38E-05,3.13E-05,0,0,0.000105632,5.05E-05,0.00084447,0.000846347,0,0,8.75E-05,5.64E-05,7.97E-05,5.91E-05,0,0,0,0,0.000576418,0.000290391,0.000140713,0,0,0,0,0,0.00025645,0,0.000352445,0.000387598,2.53E-05,0.000521402,0,0,0,9.85E-05,1.78E-05,1.08E-05,0,0,0,0,3.66E-05,5.89E-05,8.28E-05,0,0,2.35E-05,0,0,0,0,0,0,0.000213015,0,0,4.28E-05,0.004982199,0.00035499,0.007094738,0.000102669,6.50E-05,0,0,0.000168582,9.14E-05,5.74E-05,0,0,2.51E-05,0,5.31E-05,4.29E-05,0.000111222,0.001542077,0,0,3.31E-05,0.00028874,5.19E-05,2.91E-05,0,0
ASV_298,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA,3.2,0.001045273,0,0.002177702,0.002921672,0,0.002929121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63E-05,0,0,0,0,0,0,0,0,0,0,0,8.88E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005207808,0.000338854,0.008848642,0,0,0,0,0,0.000182893,7.38E-05,3.26E-05,0,1.68E-05,0,8.85E-05,0,0,0,0,0,0,0,0,0,0,0
ASV_317,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47E-05,3.70E-05,4.47E-05,0,0.000132122,8.01E-05,0.000830456,0.004545533,0,0,0.003694004,0.001295681,0.001938569,0.000837806,0,0
